Altium Designer Pick and Place Locations
C:\Users\gharris\projects\keyboard\pokey\brain\Manufacturing\3u v0.1-A1\Pick and Place\Pick and Place (3u v0.1-A1).csv

========================================================================================================================
File Design Information:

Date:       26/06/19
Time:       21:18
Revision:   8140ee01a95c0dfe7e6813f6bb5dc9a82677d89d
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Designator4","Comment","BottomLayer","OSHWA_SHL2_LOGO","0.000","0.000","180",""
"R3.7","10k","TopLayer","0402","1610.000","1444.016","90",""
"R2.7","1k","TopLayer","0402","1819.016","1390.000","360",""
"R1.7","10k","TopLayer","0402","1900.000","1489.016","270",""
"Q2.7","2N7002","TopLayer","SOT23","1705.001","1425.000","270","N-Channel Enhancement Mode Vertical DMOS FET"
"Q1.7","DMP3050LVT","TopLayer","SOT95P280X100-6N","1860.000","1615.000","90",""
"C1.7","100n","TopLayer","0402","1819.016","1460.000","360",""
"C2.6","4.7uF","TopLayer","1608[0603]","1700.000","1535.000","360","derates to 2.2"
"S1.2","MOM_SWITCH","TopLayer","EVQ-P6D/P","490.000","1986.476","360","Momentary switch"
"U2.2","CAT24C512","TopLayer","TSOP65P640X120-8N","1400.000","1440.000","180",""
"R2.2","2k","TopLayer","0402","954.016","1390.000","180",""
"R1.2","2k","TopLayer","0402","1220.000","1494.016","90",""
"C4.7","4.7uF","TopLayer","1608[0603]","675.000","1415.000","270",""
"C3.7","100n","TopLayer","0402","2890.000","1620.984","270",""
"C2.7","4.7uF","TopLayer","1608[0603]","2575.000","1415.000","90",""
"C7.2","100n","TopLayer","0402","1220.000","1419.016","90",""
"C10.7","270p","TopLayer","0402","660.000","1579.016","270",""
"C9.7","270p","TopLayer","0402","340.000","1495.984","90",""
"C8.7","270p","TopLayer","0402","660.000","1659.016","90",""
"C7.7","270p","TopLayer","0402","340.000","1725.984","270",""
"C6.7","100n","TopLayer","0402","715.000","1579.016","90",""
"C5.7","100n","TopLayer","0402","340.000","1610.984","90",""
"P1.7","Header 15","TopLayer","DF9-15S-1V","2740.000","1619.685","90","Header, 15-Pin"
"P2.7","Header 15","TopLayer","DF9-15S-1V","490.000","1619.685","90","Header, 15-Pin"
"R1.1","470","TopLayer","0402","1240.000","1990.984","270",""
"U1.2","STM32G431Cxx","TopLayer","TSQFP50P900X900X160-48N","1010.000","1700.000","135",""
"P1.3","Header 10","TopLayer","GRPB052MWCN-RC","1400.000","1930.000","360","Header, 10-Pin"
"D1.4","MMQA","TopLayer","SC-74","1527.244","1757.598","360",""
"C3.2","100n","TopLayer","0402","1111.303","1928.697","315",""
"U1.6","","TopLayer","SOT23-5","1705.000","1690.787","270","Current Sense Amp"
"U1.5","","TopLayer","MK06A_N","2100.001","1546.063","360","IC BUCK ADJ 1.2A 6TSOT"
"R3.5","9.09k","TopLayer","0402","1980.000","1565.984","270","Resistor"
"R2.5","9.09k","TopLayer","0402","1980.000","1490.079","270","Resistor"
"R1.6","10m","TopLayer","0805","1875.000","1740.000","180",""
"R1.5","100k","TopLayer","0402","2130.984","1461.063","180",""
"Q1.4","2N7002DW","TopLayer","SOT65P210X110-6N","1525.000","1635.000","180",""
"P1.4","USB4085-GF-A","TopLayer","USB4085-GF-A","1871.732","1917.677","180","USB C Connector"
"L3.5","1u","TopLayer","0806","2475.000","1885.000","360","Inductor"
"L2.5","33u","TopLayer","Murata_2900","2236.575","1836.063","360","Inductor"
"L1.5","1u","TopLayer","0806","2130.000","1390.000","360","Inductor"
"D1.5","D Schottky","TopLayer","DO-214AC","2355.331","1621.173","90","Schottky Diode"
"C6.5","22u","TopLayer","0805","2625.000","1940.000","180",""
"C5.5","22u","TopLayer","0805","2445.000","1764.063","90",""
"C6.2","4.7uF","TopLayer","1608[0603]","1400.000","1648.465","270",""
"C4.5","10nF","TopLayer","0402","2240.984","1541.063","180",""
"C5.2","100n","TopLayer","0402","761.303","1786.303","225",""
"C3.5","10u","TopLayer","1210","2280.000","1466.063","90",""
"C4.2","100n","TopLayer","0402","1086.303","1446.303","225",""
"C2.5","10u","TopLayer","1210","1980.000","1395.000","270",""
"C2.2","100n","TopLayer","0402","913.697","1466.303","135",""
"C1.6","100n","TopLayer","0402","1720.984","1590.000","180",""
"C1.5","100n","TopLayer","0402","2110.984","1641.063","360",""
"C1.2","100n","TopLayer","0402","1168.697","1871.303","315",""
